Batch,Loss,Accuracy
0,0.70131,0.308826
1,0.734291,0.307911
2,0.697355,0.309647
3,0.693592,0.310709
4,0.693558,0.31257
5,0.691536,0.312158
6,0.6915,0.312809
7,0.691056,0.312138
8,0.690788,0.312153
9,0.690851,0.312949
10,0.689849,0.312888
11,0.689736,0.313221
12,0.689661,0.313762
13,0.689019,0.313977
14,0.688774,0.314442
15,0.688345,0.314996
16,0.687649,0.315193
17,0.687582,0.315631
18,0.687179,0.31597
19,0.686366,0.316223
20,0.686064,0.316812
21,0.685395,0.317309
22,0.684286,0.317401
23,0.68441,0.317734
24,0.684898,0.318342
25,0.683733,0.319003
26,0.682594,0.319583
27,0.681753,0.320117
28,0.681577,0.320658
29,0.681901,0.321525
30,0.679289,0.321882
31,0.677356,0.322163
32,0.676579,0.32263
33,0.677908,0.323112
34,0.676736,0.323418
35,0.677259,0.324026
36,0.67272,0.324126
37,0.673993,0.324626
38,0.673414,0.325139
39,0.672958,0.325774
40,0.671561,0.326381
41,0.671728,0.326902
42,0.668727,0.327448
43,0.671842,0.328065
44,0.672478,0.328743
45,0.668174,0.32912
46,0.66827,0.329646
47,0.666385,0.330252
48,0.668051,0.330987
49,0.664733,0.33169
50,0.662316,0.332162
51,0.660677,0.332547
52,0.659693,0.332932
53,0.660201,0.333488
54,0.658986,0.334104
55,0.660076,0.33468
56,0.658921,0.335365
57,0.654786,0.335913
58,0.651038,0.336275
59,0.658813,0.336694
60,0.649818,0.33731
61,0.650833,0.3379
62,0.650361,0.338497
63,0.645646,0.339005
64,0.643052,0.339451
65,0.642402,0.339861
66,0.647099,0.340495
67,0.644846,0.341228
68,0.642251,0.341788
69,0.641504,0.342521
70,0.63991,0.342921
71,0.641085,0.343394
72,0.63645,0.344079
73,0.630268,0.344187
74,0.635581,0.344726
75,0.630939,0.345483
76,0.631008,0.346146
77,0.631123,0.346858
78,0.628573,0.347501
79,0.627671,0.348209
80,0.627347,0.348799
81,0.619993,0.349431
82,0.619264,0.35011
83,0.617629,0.350778
84,0.615763,0.351393
85,0.607763,0.351965
86,0.610063,0.352509
87,0.612559,0.353184
88,0.612675,0.353878
89,0.606341,0.354488
90,0.604516,0.355152
91,0.602134,0.355822
92,0.599155,0.35653
93,0.60114,0.357249
94,0.59678,0.358022
95,0.598551,0.358735
96,0.591514,0.359506
97,0.591051,0.36024
98,0.586864,0.361129
99,0.590641,0.36182
100,0.583793,0.362482
101,0.593901,0.363311
102,0.586078,0.36412
103,0.580489,0.364983
104,0.583873,0.365792
105,0.5801,0.366615
106,0.575842,0.367326
107,0.574387,0.368148
108,0.571221,0.369024
109,0.580293,0.369876
110,0.551542,0.370022
111,0.577715,0.370835
112,0.558393,0.371746
113,0.565806,0.372435
114,0.556735,0.373218
115,0.554775,0.373985
116,0.561529,0.374925
117,0.552713,0.375651
118,0.552853,0.376564
119,0.538207,0.377525
120,0.543997,0.378386
121,0.544286,0.379128
122,0.538091,0.379948
123,0.535335,0.380691
124,0.540471,0.381431
125,0.528516,0.382317
126,0.54347,0.383139
127,0.531179,0.384064
128,0.521335,0.384891
129,0.514915,0.385704
130,0.507637,0.386585
131,0.516387,0.387396
132,0.511913,0.388251
133,0.502298,0.38912
134,0.500825,0.389997
135,0.507871,0.390756
136,0.495583,0.391457
137,0.493126,0.392242
138,0.498147,0.393119
139,0.501538,0.393986
140,0.490947,0.394761
141,0.489727,0.395613
142,0.489483,0.396456
143,0.475087,0.397364
144,0.479977,0.398204
145,0.470341,0.399084
146,0.4737,0.39996
147,0.463253,0.40009
148,0.469217,0.401005
149,0.47305,0.401897
150,0.45683,0.402731
151,0.462985,0.403566
152,0.465965,0.40435
153,0.449971,0.405256
154,0.461471,0.406056
155,0.433987,0.406948
156,0.43224,0.407757
157,0.444629,0.408589
158,0.429742,0.409439
159,0.446573,0.410214
160,0.439774,0.410994
161,0.430296,0.411859
162,0.42704,0.412617
163,0.450965,0.413492
164,0.439051,0.4144
165,0.437699,0.415168
166,0.424629,0.415894
167,0.428053,0.416738
168,0.429558,0.41753
169,0.413886,0.418359
170,0.40129,0.419121
171,0.414018,0.419895
172,0.414032,0.420795
173,0.40534,0.421736
174,0.399188,0.422609
175,0.403863,0.423534
176,0.402995,0.42445
177,0.397075,0.425253
178,0.415076,0.426274
179,0.38473,0.427185
180,0.387229,0.428063
181,0.389401,0.428966
182,0.393015,0.429943
183,0.398064,0.430875
184,0.359688,0.431011
185,0.39442,0.431961
186,0.399345,0.432707
187,0.356995,0.433533
188,0.356165,0.434339
189,0.38245,0.435133
190,0.374169,0.435839
191,0.375499,0.436703
192,0.34536,0.437648
193,0.370948,0.438453
194,0.35679,0.439266
195,0.365373,0.440024
196,0.345733,0.440871
197,0.367285,0.441689
198,0.350269,0.442446
199,0.335889,0.443258
200,0.355062,0.44409
201,0.349429,0.444884
202,0.326526,0.44564
203,0.334512,0.446436
204,0.362566,0.447194
205,0.332123,0.448046
206,0.340777,0.448923
207,0.336882,0.449796
208,0.334448,0.450487
209,0.309692,0.451296
210,0.318211,0.452022
211,0.323816,0.452803
212,0.322185,0.453608
213,0.319787,0.454484
214,0.332363,0.455289
215,0.324713,0.456129
216,0.315993,0.45696
217,0.308086,0.457656
218,0.29934,0.458437
219,0.320098,0.459248
220,0.297163,0.460027
221,0.250321,0.460164
222,0.28554,0.460982
223,0.288448,0.461908
224,0.307461,0.462624
225,0.305238,0.463409
226,0.321758,0.464187
227,0.282368,0.464936
228,0.286202,0.465789
229,0.283032,0.46659
230,0.284406,0.467429
231,0.261916,0.468314
232,0.30815,0.469056
233,0.294905,0.469898
234,0.246874,0.47074
235,0.267082,0.471565
236,0.267187,0.472395
237,0.260871,0.4732
238,0.265585,0.474004
239,0.269782,0.474744
240,0.291892,0.475557
241,0.266292,0.476401
242,0.25388,0.477177
243,0.259666,0.478051
244,0.258278,0.478884
245,0.245627,0.479696
246,0.242109,0.480428
247,0.236893,0.481192
248,0.234844,0.482057
249,0.23353,0.482833
250,0.245203,0.483602
251,0.247118,0.484354
252,0.234469,0.485085
253,0.262542,0.485813
254,0.230369,0.486589
255,0.258614,0.487314
256,0.234894,0.48817
257,0.218387,0.489034
258,0.326643,0.489111
259,0.242564,0.489846
260,0.219318,0.490572
261,0.208692,0.49136
262,0.247886,0.492158
263,0.203999,0.492937
264,0.212684,0.493746
265,0.321433,0.494443
266,0.231668,0.495072
267,0.236227,0.495788
268,0.240196,0.49654
269,0.251225,0.497334
270,0.225896,0.498034
271,0.218142,0.498756
272,0.210998,0.499449
273,0.212114,0.500114
274,0.227207,0.500849
275,0.24878,0.501643
276,0.279304,0.502304
277,0.222548,0.503058
278,0.199756,0.503798
279,0.223197,0.504475
280,0.234798,0.505188
281,0.195071,0.505883
282,0.211451,0.506618
283,0.200781,0.507308
284,0.195139,0.507982
285,0.203319,0.508734
286,0.212369,0.509405
287,0.216398,0.510178
288,0.182425,0.510975
289,0.214572,0.511714
290,0.208057,0.512519
291,0.196951,0.513298
292,0.21003,0.514049
293,0.192935,0.51479
294,0.182955,0.51553
295,0.203757,0.515613
296,0.228526,0.516299
297,0.181519,0.517049
298,0.181129,0.517741
299,0.19537,0.518411
300,0.176789,0.519131
301,0.203345,0.519825
302,0.181805,0.520495
303,0.172608,0.521173
304,0.165599,0.521936
305,0.169318,0.522642
306,0.195725,0.523371
307,0.174895,0.524042
308,0.150999,0.524727
309,0.192233,0.525415
310,0.180017,0.526137
311,0.163961,0.526827
312,0.166391,0.527498
313,0.154438,0.528258
314,0.167565,0.528906
315,0.215831,0.529561
316,0.158043,0.530317
317,0.167702,0.531104
318,0.170739,0.531851
319,0.174582,0.532531
320,0.160394,0.533187
321,0.150002,0.533806
322,0.180761,0.534472
323,0.137925,0.535184
324,0.159663,0.535928
325,0.14943,0.536549
326,0.149676,0.537219
327,0.146927,0.537951
328,0.137271,0.538652
329,0.13864,0.539402
330,0.142777,0.540162
331,0.151526,0.54089
332,0.13857,0.540966
333,0.154054,0.541684
334,0.136228,0.542349
335,0.154421,0.543016
336,0.133066,0.543673
337,0.144512,0.544353
338,0.143449,0.545062
339,0.141277,0.545843
340,0.142538,0.546502
341,0.111071,0.547146
342,0.143076,0.547808
343,0.123783,0.548476
344,0.150982,0.549069
345,0.182035,0.549714
346,0.150801,0.550422
347,0.131769,0.551075
348,0.119629,0.551706
349,0.16918,0.552331
350,0.132277,0.553009
351,0.158782,0.553726
352,0.13277,0.554368
353,0.113573,0.555005
354,0.123696,0.555635
355,0.128914,0.556251
356,0.142343,0.556882
357,0.14557,0.557547
358,0.108151,0.558217
359,0.108388,0.5589
360,0.128289,0.559506
361,0.121289,0.560158
362,0.116491,0.560786
363,0.130156,0.561359
364,0.117912,0.562007
365,0.120215,0.562649
366,0.11641,0.563279
367,0.117614,0.563854
368,0.109986,0.564451
369,0.0741731,0.56453
370,0.153757,0.565162
371,0.121435,0.565796
372,0.120733,0.566366
373,0.102152,0.566956
374,0.107715,0.567597
375,0.0762201,0.568199
376,0.102244,0.568766
377,0.128316,0.56936
378,0.126541,0.569969
379,0.120709,0.570555
380,0.108801,0.571162
381,0.117667,0.57178
382,0.137438,0.572419
383,0.115851,0.572971
384,0.0988242,0.573555
385,0.108616,0.574156
386,0.113928,0.574771
387,0.128669,0.575361
388,0.123932,0.575913
389,0.109206,0.576513
390,0.129821,0.57711
391,0.107836,0.577707
392,0.103592,0.578289
393,0.122896,0.57895
394,0.109869,0.579556
395,0.136096,0.580106
396,0.12318,0.58064
397,0.140591,0.581206
398,0.119273,0.58175
399,0.106973,0.58226
400,0.159307,0.582805
401,0.100144,0.583332
402,0.113533,0.583865
403,0.102574,0.58445
404,0.107115,0.584994
405,0.102028,0.585559
406,0.120915,0.585628
407,0.103481,0.58617
408,0.106527,0.586687
409,0.100924,0.587216
410,0.116392,0.587709
411,0.0956622,0.588231
412,0.109085,0.588741
413,0.0973699,0.589281
414,0.117924,0.589831
415,0.121233,0.590389
416,0.110371,0.590932
417,0.139743,0.591572
418,0.10162,0.592116
419,0.127246,0.592551
420,0.10734,0.593104
421,0.124203,0.593616
422,0.1148,0.594136
423,0.121023,0.594674
424,0.0848383,0.595185
425,0.085669,0.595676
426,0.124649,0.596197
427,0.0727077,0.596737
428,0.108769,0.59724
429,0.0866105,0.597761
430,0.0884366,0.598329
431,0.129487,0.598855
432,0.112102,0.599355
433,0.139599,0.599855
434,0.0890993,0.600414
435,0.104197,0.600922
436,0.128714,0.60137
437,0.091847,0.601826
438,0.10308,0.602271
439,0.131028,0.602783
440,0.115073,0.603297
441,0.0988819,0.603752
442,0.109529,0.60427
443,0.164055,0.604326
444,0.12207,0.604706
445,0.131069,0.60511
446,0.121766,0.605548
447,0.133401,0.605994
448,0.120914,0.606453
449,0.125212,0.606893
450,0.143087,0.607326
451,0.179863,0.607777
452,0.125633,0.608185
453,0.137357,0.608658
454,0.127346,0.609082
455,0.13328,0.609541
456,0.101947,0.609975
457,0.159989,0.610356
458,0.147018,0.610782
459,0.115377,0.611235
460,0.112026,0.61172
461,0.136774,0.612174
462,0.109852,0.612608
463,0.131775,0.613107
464,0.130232,0.613543
465,0.119911,0.613943
466,0.152348,0.614425
467,0.111339,0.61486
468,0.13126,0.615295
469,0.102278,0.61575
470,0.115085,0.616195
471,0.107833,0.616639
472,0.0991751,0.617059
473,0.12848,0.617529
474,0.0916032,0.617963
475,0.0863421,0.618404
476,0.0850933,0.618839
477,0.103991,0.619214
478,0.0925679,0.619632
479,0.111657,0.620056
480,0.116079,0.620103
481,0.0919617,0.620508
482,0.0854452,0.620958
483,0.104935,0.621372
484,0.130313,0.62182
485,0.107819,0.622251
486,0.0851862,0.622634
487,0.0783831,0.623072
488,0.083784,0.623494
489,0.111956,0.623896
490,0.117043,0.624343
491,0.0940691,0.624764
492,0.123172,0.625232
493,0.106387,0.625685
494,0.0914226,0.626135
495,0.0968433,0.626568
496,0.101378,0.626973
497,0.0922648,0.627376
498,0.0909571,0.627766
499,0.0901213,0.628172
500,0.077402,0.628588
501,0.106986,0.629045
502,0.102028,0.629446
503,0.0990962,0.629853
504,0.0980429,0.630267
505,0.0839937,0.630616
506,0.106449,0.631037
507,0.097076,0.631454
508,0.0967223,0.631861
509,0.0783693,0.632261
510,0.114059,0.632676
511,0.0989529,0.633072
512,0.0937512,0.63346
513,0.116089,0.63383
514,0.0742265,0.634192
515,0.0859684,0.634624
516,0.104165,0.635014
517,0.0886264,0.635051
518,0.105742,0.635435
519,0.0901951,0.635847
520,0.100147,0.636225
521,0.0820462,0.636605
522,0.0842048,0.636994
523,0.0914594,0.637332
524,0.0948358,0.637706
525,0.0825635,0.638133
526,0.0959575,0.638545
527,0.0799751,0.638961
528,0.081409,0.639324
529,0.0676057,0.63969
530,0.0995795,0.640083
531,0.0920267,0.640499
532,0.10319,0.640884
533,0.101653,0.641256
534,0.0965578,0.641623
535,0.0937045,0.642021
536,0.0952496,0.642387
537,0.106389,0.642763
538,0.0853956,0.643135
539,0.0981027,0.643513
540,0.0782043,0.643886
541,0.107062,0.644272
542,0.0804088,0.644659
543,0.0654014,0.645016
544,0.071585,0.645383
